date,Tmax,Tmin,Tmean,RH_mean,RH_max,wind_mean,wind_max,solar_mean,solar_max,heat_index,HI_max
2021-11-30,30.9,19.8,24.816666666666666,41.541666666666664,53,15.033333333333333,18.5,179.3166666666667,689.6,31.007793814164245,29.313014454637848
2021-12-01,23.5,18.8,20.158333333333335,76.70833333333333,86,12.6875,17.7,38.00833333333333,180.7,23.99925046310215,25.22477719261125
2021-12-02,21.7,16.3,18.420833333333334,76.0,91,16.958333333333332,23.3,66.67916666666666,451.2,22.610819710895612,24.37471896171561
2021-12-03,25.9,15.5,20.179166666666667,64.20833333333333,75,14.75,19.5,160.59166666666667,602.0,26.963064600404852,26.5220678151378
2021-12-04,28.2,17.8,22.412499999999998,66.29166666666667,82,11.004166666666668,14.7,168.02083333333334,653.9,30.545447356192174,28.676916057884494
2021-12-05,28.4,19.4,23.366666666666664,70.29166666666667,86,7.879166666666666,13.0,165.09166666666667,661.2,31.50559086733817,29.014857017137818
2021-12-06,29.4,18.6,23.3,68.95833333333333,93,7.766666666666667,9.7,172.51250000000002,666.5,33.40736689199925,29.68206562131565
2021-12-07,29.2,19.6,23.479166666666668,64.29166666666667,83,13.316666666666668,19.2,174.76666666666665,664.7,32.10388545098368,29.215390277457832
2021-12-08,28.8,18.0,22.71666666666667,55.916666666666664,73,10.583333333333334,14.5,174.34166666666667,670.0,30.134042844652217,28.166031165635545
2021-12-09,28.7,18.0,22.337500000000002,53.833333333333336,71,11.033333333333333,16.0,175.14999999999998,669.2,29.725838900031857,28.227930631191118
2021-12-10,28.9,17.8,22.224999999999998,56.041666666666664,70,12.658333333333333,17.6,175.54583333333335,668.4,30.299992119008355,28.42032338783121
2021-12-11,28.6,16.6,21.545833333333334,57.083333333333336,71,11.333333333333334,15.6,176.8375,671.7,29.98950457522728,28.05775972055115
2021-12-12,29.0,16.3,21.916666666666668,58.208333333333336,75,9.870833333333334,13.4,174.70000000000002,665.8,30.763749000138205,28.51857480311115
2021-12-13,29.1,17.1,22.537499999999998,58.5,82,8.954166666666667,12.9,171.775,660.9,30.97058024502947,28.697242840444417
2021-12-14,27.7,15.5,20.704166666666666,50.583333333333336,70,7.8125,10.7,177.45833333333334,674.4,28.167900799208912,26.839479943991154
2021-12-15,28.4,14.6,20.795833333333334,58.0,75,9.15,12.1,173.28333333333333,663.4,29.807702607395704,28.08460865455779
2021-12-16,26.8,14.6,19.783333333333335,54.125,83,10.770833333333334,14.6,176.725,670.7,27.46927266081157,27.651966926604498
2021-12-17,25.8,13.3,18.9375,49.166666666666664,60,13.5625,18.1,177.13333333333333,673.0,26.387892555057373,31.305071975617814
2021-12-18,25.0,14.6,19.045833333333334,48.208333333333336,59,16.304166666666667,20.8,176.07083333333333,670.2,25.85985439743443,29.32657763047113
2021-12-19,24.7,12.5,17.970833333333335,40.625,52,14.383333333333333,17.7,178.99166666666667,681.6,25.569559118513137,32.628440243055586
2021-12-20,25.9,11.9,17.95,38.5,50,11.166666666666666,15.6,181.42083333333335,690.0,26.09242723254055,33.34943591965112
2021-12-21,27.3,11.7,18.220833333333335,48.416666666666664,65,8.283333333333333,11.5,178.86666666666667,678.1,27.60038520190304,33.63643215540444
2021-12-22,27.3,11.2,18.6375,58.0,89,5.675,8.7,178.04999999999998,677.3,28.30554845961565,28.566958118915537
2021-12-23,27.9,11.5,19.333333333333332,62.916666666666664,93,5.179166666666666,8.1,176.17083333333332,669.4,29.623528750316105,27.16812011801779
2021-12-24,28.2,15.5,21.3625,71.95833333333333,96,7.704166666666667,11.5,167.57083333333335,648.2,31.342771043035142,28.22956372748449
2021-12-25,28.0,15.6,21.55,69.75,96,5.741666666666667,8.7,172.42083333333335,656.6,30.633403605319373,27.952300545777764
2021-12-26,26.8,14.5,20.491666666666667,67.70833333333333,96,6.5125,11.0,137.67916666666667,544.4,28.357354217419584,26.67351935879111
2021-12-27,28.0,16.0,21.616666666666664,62.291666666666664,86,7.670833333333333,20.7,165.36666666666667,648.9,29.709530947099932,27.47099294355563
2021-12-28,24.5,16.9,19.900000000000002,78.5,95,9.4375,17.3,132.27916666666667,596.7,25.143993860736103,25.62255208911119
2021-12-29,23.8,13.8,18.066666666666666,66.75,92,12.716666666666667,16.0,178.475,680.0,24.898240373187846,26.75107304697554
2021-12-30,23.9,13.5,18.162499999999998,56.75,80,16.641666666666666,21.7,179.14166666666665,683.3,25.27779743516568,28.189389292611093
2021-12-31,25.3,14.7,19.404166666666665,60.166666666666664,70,15.4,19.3,170.94583333333333,653.8,26.250241935252852,27.023926879695598
2022-01-01,27.0,16.0,20.741666666666667,65.41666666666667,80,10.954166666666666,14.7,169.02083333333334,652.0,28.48693782512653,27.4170370884445
2022-01-02,27.8,16.3,21.349999999999998,70.33333333333333,91,9.295833333333333,12.4,167.09166666666667,653.2,30.325149695571366,27.863338651751196
2022-01-03,28.3,17.3,21.925,68.95833333333333,85,8.612499999999999,13.7,174.25416666666663,662.6,31.105647821241195,28.331896135884495
2022-01-04,28.9,17.8,22.691666666666666,67.66666666666667,86,7.195833333333333,9.6,172.3708333333333,653.6,32.09849669497003,28.86754806668441
2022-01-05,29.3,18.4,22.625,70.41666666666667,86,11.245833333333332,21.6,140.80416666666667,558.1,33.478702992518215,29.330797292157815
2022-01-06,20.4,15.8,18.866666666666667,89.41666666666667,98,5.016666666666667,10.0,38.729166666666664,198.9,18.928227968382615,20.925486944444394
2022-01-07,25.5,13.6,19.308333333333334,78.54166666666667,99,7.1125,11.9,158.93333333333334,599.8,26.718176486398306,26.277522343777758
2022-01-08,22.9,13.1,17.900000000000002,69.54166666666667,97,10.104166666666666,13.0,182.85416666666666,686.1,24.082087165508298,28.743810796595547
2022-01-09,21.8,10.3,15.445833333333333,60.208333333333336,84,9.8125,11.9,190.0583333333333,712.9,24.414816167718843,31.077691502471154
2022-01-10,22.6,10.5,15.679166666666667,58.458333333333336,77,10.954166666666666,14.9,188.32500000000002,704.9,24.69703413456181,33.28604322705552
2022-01-11,22.1,11.2,15.820833333333333,56.291666666666664,78,12.583333333333334,15.3,191.52916666666667,717.4,24.70318281764372,31.74548314579552
2022-01-12,21.9,10.3,15.262500000000001,59.541666666666664,78,11.320833333333333,15.5,190.97916666666666,714.5,24.47772096885509,33.424994059724526
2022-01-13,23.0,10.9,15.908333333333333,59.166666666666664,76,11.958333333333334,16.2,190.08333333333334,710.5,24.795729765913595,32.32117957041554
2022-01-14,24.2,10.8,16.266666666666666,59.375,74,11.058333333333332,16.6,189.35416666666666,707.6,25.40380012363869,34.08661630001774
2022-01-15,24.7,11.9,17.3,61.25,81,12.25,16.1,190.225,708.8,25.743035193165692,31.075172594895516
2022-01-16,26.0,13.2,18.650000000000002,62.083333333333336,79,12.391666666666666,16.2,190.9125,712.0,27.00375008534416,27.629520496204442
2022-01-17,27.0,13.7,19.495833333333334,66.41666666666667,87,9.395833333333334,13.7,188.46666666666667,702.9,28.565387533645133,26.913597688444458
2022-01-18,27.3,13.9,19.795833333333334,70.04166666666667,94,7.704166666666667,11.2,189.26666666666665,704.0,29.37664277833201,27.08872402449559
2022-01-19,28.1,14.1,20.433333333333334,63.333333333333336,88,7.9624999999999995,11.5,189.00833333333333,702.1,29.994250709136622,27.5533491650756
2022-01-20,28.2,15.2,20.883333333333333,60.875,76,9.983333333333333,14.2,190.0375,706.3,29.854416518645294,28.401397092391075
2022-01-21,28.5,16.3,21.900000000000002,75.95833333333333,99,9.491666666666667,15.7,172.77916666666667,701.3,32.65765548001168,28.928571677555574
2022-01-22,27.0,17.5,21.991666666666664,61.416666666666664,95,17.991666666666667,27.0,182.5041666666667,703.4,28.184165275496987,26.45589329305564
2022-01-23,21.7,11.9,16.75,51.125,73,9.620833333333334,13.7,204.125,752.9,24.895724429849746,33.45823585051565
2022-01-24,22.4,8.0,14.966666666666667,52.375,79,6.9750000000000005,9.7,206.4125,759.1,24.907577085039318,39.69556997695102
2022-01-25,23.1,9.8,16.0125,53.708333333333336,78,8.245833333333334,11.6,204.35,750.9,25.024200097230974,37.41483688891548
2022-01-26,23.3,9.7,16.175,55.416666666666664,77,9.104166666666666,11.5,207.45000000000002,760.3,25.04462652544033,34.98687659572453
2022-01-27,24.0,11.8,17.033333333333335,49.5,72,11.833333333333334,15.1,208.65,763.4,25.39353693894454,32.770610748035566
2022-01-28,24.7,11.2,16.933333333333334,47.291666666666664,61,11.325000000000001,16.3,212.21666666666667,773.7,25.689962257830402,34.91276925139555
2022-01-29,26.8,10.5,17.6875,51.75,71,8.016666666666667,12.5,212.66666666666666,775.8,27.330851636679434,35.289276335777735
2022-01-30,27.5,10.4,18.400000000000002,53.75,82,7.033333333333334,11.9,213.2458333333333,776.9,28.202041774392416,32.291624623591126
2022-01-31,27.5,11.6,19.025000000000002,63.708333333333336,82,7.2375,10.2,208.525,760.4,29.087107078648224,30.877629580515556
2022-02-01,29.6,14.4,21.224999999999998,69.91666666666667,94,6.7124999999999995,9.6,208.54999999999998,757.4,34.06550928093818,29.239118945315553
2022-02-02,29.8,14.0,21.78333333333333,63.291666666666664,94,7.308333333333334,12.2,213.86249999999998,774.9,33.10216151666336,28.714706064924467
2022-02-03,27.9,16.3,21.0625,50.791666666666664,96,11.120833333333332,16.5,216.26250000000002,781.4,28.406769473911083,27.4711941966845
2022-02-04,26.8,11.9,19.129166666666666,43.791666666666664,69,5.833333333333333,11.2,223.9125,807.8,26.90359549019847,32.13094072009791
2022-02-05,27.4,13.5,20.162499999999998,41.416666666666664,63,4.883333333333334,10.4,222.40833333333333,801.6,27.248346107142112,30.648020651277776
2022-02-06,28.9,12.1,20.020833333333332,44.083333333333336,62,6.9875,9.7,223.3166666666667,805.7,28.886831224587088,32.951631508397845
2022-02-07,28.6,13.4,20.912499999999998,51.0,80,7.283333333333334,13.5,220.27083333333334,792.3,29.263513819537806,27.603582883715646
2022-02-08,28.5,14.9,21.416666666666668,60.375,88,5.820833333333333,10.1,218.95000000000002,788.1,30.264289198556398,27.76110944377778
2022-02-09,28.3,17.8,22.304166666666664,49.875,76,11.641666666666666,14.8,214.39999999999998,785.0,28.781223743183165,27.4763316527378
2022-02-10,27.9,16.3,21.479166666666668,45.791666666666664,59,12.504166666666668,16.9,224.90416666666667,803.5,27.992970633460143,27.210027402391148
2022-02-11,27.4,15.2,20.270833333333332,42.833333333333336,63,13.141666666666666,20.0,231.3166666666667,825.3,27.33303217589285,28.16832428081778
2022-02-12,28.8,13.7,20.495833333333334,40.75,63,9.820833333333333,13.5,234.59166666666667,835.3,28.47100294011055,30.209762317395537
2022-02-13,29.5,13.2,20.641666666666666,41.666666666666664,65,7.670833333333333,12.5,232.79999999999998,828.0,29.30463561572838,30.74573886644445
2022-02-14,30.1,14.6,21.974999999999998,41.083333333333336,64,7.433333333333334,10.5,229.16666666666666,815.5,29.93514281254268,28.85107336531557
2022-02-15,30.0,15.8,22.5,38.083333333333336,53,6.7250000000000005,11.6,231.94583333333333,822.7,29.476825535455223,28.442480055555563
2022-02-16,30.7,16.6,22.96666666666667,41.083333333333336,66,9.125,12.9,231.14166666666665,821.4,30.680110340152694,28.95029160580451
2022-02-17,31.4,16.3,23.308333333333334,34.125,53,9.875,13.2,229.20000000000002,828.6,30.61677100612532,29.430637971271153
2022-02-18,31.6,17.3,24.233333333333334,35.666666666666664,45,8.158333333333333,13.0,232.17916666666667,821.4,31.06042542000393,30.081134959964466
2022-02-19,32.8,18.9,25.65416666666667,33.291666666666664,57,10.549999999999999,16.9,235.04999999999998,828.4,32.24191108221396,30.972253850204467
2022-02-20,32.0,17.0,24.070833333333336,26.208333333333332,40,10.820833333333333,14.8,244.15833333333333,858.1,30.424601442470312,29.793593561777836
2022-02-21,33.1,17.9,24.8875,31.416666666666668,51,9.804166666666667,13.0,240.82916666666668,844.6,32.336681618649266,30.856464490497803
2022-02-22,33.4,16.6,24.233333333333334,41.0,73,7.879166666666666,14.3,244.70833333333334,855.7,34.6586825550045,31.090189154115567
2022-02-23,32.3,17.7,24.254166666666666,47.958333333333336,86,8.270833333333334,10.9,246.11249999999998,860.7,34.41852171136988,30.38785152993556
2022-02-24,33.5,18.6,25.416666666666668,34.125,58,8.933333333333334,12.1,248.72916666666666,868.8,33.34431730741062,31.13900156377777
2022-02-25,33.9,16.4,24.787499999999998,30.458333333333332,53,7.5,10.3,251.0625,873.7,33.23117408788818,31.432204974995607
2022-02-26,32.8,17.2,24.366666666666664,32.416666666666664,61,8.158333333333333,11.6,249.76250000000002,869.5,32.104989186120456,30.624289806204462
2022-02-27,33.4,17.2,24.837500000000002,31.25,53,9.558333333333334,12.9,251.33333333333334,873.4,32.700530183721135,31.200427012284493
2022-02-28,33.3,20.2,25.495833333333334,37.166666666666664,61,12.729166666666666,20.3,249.4125,867.1,33.65092618431343,31.31947334335115
2022-03-01,34.2,18.1,25.554166666666664,34.875,55,8.7875,11.9,250.59583333333333,869.0,34.532520240466965,31.998113569404477
2022-03-02,34.4,18.7,26.27916666666667,29.958333333333332,49,9.1,14.2,248.3125,872.9,33.82051138441921,32.12314478849776
2022-03-03,34.4,19.8,26.708333333333332,24.25,39,10.845833333333333,14.6,256.5208333333333,884.0,32.89516232447053,31.93567442796443
2022-03-04,33.0,18.9,25.224999999999998,29.625,49,12.741666666666667,22.0,260.01666666666665,894.1,31.946950490465294,30.68050126177778
