date,Tmax,Tmin,Tmean,RH_mean,RH_max,wind_mean,wind_max,solar_mean,solar_max
2024-06-28,32.5,27.6,29.429166666666664,78.75,86,15.704166666666666,21.1,167.7875,650.6
2024-06-29,31.6,26.8,28.320833333333336,86.70833333333333,95,15.116666666666667,21.1,97.30416666666666,474.7
2024-06-30,31.2,26.5,27.708333333333332,90.08333333333333,94,13.825000000000001,18.9,134.31666666666666,749.2
2024-07-01,28.6,25.8,27.079166666666666,91.45833333333333,97,16.495833333333334,23.9,83.10833333333333,328.8
2024-07-02,29.4,25.5,27.079166666666666,89.625,95,14.295833333333334,19.0,103.20833333333333,487.7
2024-07-03,33.6,26.5,29.579166666666666,82.0,95,12.758333333333333,18.2,192.63333333333333,854.0
2024-07-04,33.4,27.6,29.90833333333333,78.625,91,11.683333333333332,14.4,224.80416666666667,775.1
2024-07-05,30.6,26.0,28.09166666666667,87.95833333333333,97,10.741666666666667,14.8,117.2375,389.1
2024-07-06,32.8,26.3,29.55,80.625,95,12.395833333333334,19.1,163.1625,679.3
2024-07-07,33.3,26.9,29.96666666666667,77.66666666666667,94,12.491666666666667,17.7,227.71666666666667,739.4
2024-07-08,33.2,26.6,29.5125,80.66666666666667,96,5.620833333333334,11.2,192.6916666666667,713.1
2024-07-09,32.7,26.9,29.15833333333333,83.79166666666667,93,5.9750000000000005,12.9,194.4125,726.3
2024-07-10,32.7,26.0,29.087500000000002,80.58333333333333,98,11.191666666666668,16.6,207.27916666666667,645.3
2024-07-11,32.9,27.2,29.09583333333333,80.33333333333333,91,11.387500000000001,14.0,208.70416666666668,718.2
2024-07-12,32.7,26.1,28.829166666666666,81.16666666666667,94,14.112499999999999,19.0,175.63750000000002,786.4
2024-07-13,33.1,25.8,29.070833333333336,81.91666666666667,96,11.516666666666666,15.4,243.75,791.4
2024-07-14,33.1,26.8,29.72083333333333,79.0,90,9.358333333333333,14.9,207.0,776.4
2024-07-15,30.7,26.6,27.916666666666668,88.79166666666667,96,6.408333333333334,11.2,102.54166666666667,599.5
2024-07-16,32.8,25.6,28.8125,85.91666666666667,99,5.8374999999999995,13.0,188.20000000000002,729.2
2024-07-17,32.8,26.6,29.116666666666664,81.41666666666667,96,11.945833333333333,15.5,209.02916666666667,643.3
2024-07-18,33.6,26.6,29.175,80.45833333333333,91,11.529166666666667,17.6,200.85416666666666,745.1
2024-07-19,31.7,26.9,28.683333333333334,82.70833333333333,90,13.275,20.5,193.40833333333333,778.3
2024-07-20,32.4,26.4,28.90833333333333,81.95833333333333,95,13.049999999999999,17.7,185.1208333333333,721.3
2024-07-21,33.1,26.2,29.425,80.04166666666667,95,8.883333333333333,11.6,216.03333333333333,731.9
2024-07-22,30.8,26.7,28.150000000000002,87.08333333333333,95,11.970833333333333,18.8,158.20000000000002,667.2
2024-07-23,31.7,26.5,28.141666666666666,84.875,94,15.508333333333333,18.9,169.05416666666667,638.4
2024-07-24,29.3,26.1,27.175,89.95833333333333,97,15.025,17.8,91.15833333333335,438.7
2024-07-25,30.4,25.9,27.370833333333334,86.95833333333333,95,14.6,21.1,142.775,580.4
2024-07-26,31.1,25.8,28.083333333333332,85.08333333333333,93,12.083333333333334,17.5,144.54583333333332,538.0
2024-07-27,30.3,26.0,27.558333333333334,87.79166666666667,96,11.383333333333333,16.6,119.33749999999999,534.1
2024-07-28,31.4,25.8,27.766666666666666,89.41666666666667,97,9.820833333333333,15.4,119.3625,459.4
2024-07-29,28.1,25.9,26.787499999999998,93.875,98,15.533333333333333,31.1,57.3125,253.4
2024-07-30,31.5,25.9,27.983333333333334,86.33333333333333,96,12.145833333333334,16.5,166.09583333333333,657.8
2024-07-31,32.4,25.4,28.508333333333336,82.54166666666667,96,11.954166666666666,18.7,244.52499999999998,787.4
2024-08-01,30.8,26.0,27.383333333333336,87.5,93,12.645833333333334,18.4,98.375,541.7
2024-08-02,29.1,25.7,26.8875,88.25,95,14.920833333333334,18.9,78.15833333333333,251.3
2024-08-03,29.0,25.5,26.45,92.625,96,14.833333333333334,20.3,79.59166666666667,420.8
2024-08-04,30.1,25.8,27.275000000000002,88.16666666666667,95,13.729166666666666,17.3,106.74583333333334,498.2
2024-08-05,29.3,25.6,27.1125,86.625,93,13.6,18.2,110.94166666666666,412.0
2024-08-06,31.3,25.5,27.929166666666664,81.375,93,14.950000000000001,20.0,171.82500000000002,686.3
2024-08-07,31.7,25.3,28.054166666666664,79.41666666666667,92,13.637500000000001,17.4,213.1208333333333,750.5
2024-08-08,31.1,24.7,27.433333333333334,82.29166666666667,94,11.708333333333334,16.0,187.36666666666667,694.1
2024-08-09,29.9,25.0,26.7625,87.95833333333333,95,10.929166666666667,15.8,163.37916666666666,674.3
2024-08-10,29.6,25.5,26.629166666666666,91.08333333333333,95,12.5,16.2,88.0,416.4
2024-08-11,29.0,25.1,26.625,87.375,93,13.245833333333332,19.2,110.38333333333333,435.7
2024-08-12,30.5,25.0,27.170833333333334,87.375,96,10.566666666666666,14.9,156.32916666666668,610.2
2024-08-13,31.1,25.7,27.358333333333334,87.83333333333333,96,9.054166666666665,12.5,137.55833333333334,546.2
2024-08-14,31.4,26.0,28.22083333333333,85.0,97,8.375,12.6,175.71666666666667,510.0
2024-08-15,31.1,25.6,28.03333333333333,84.25,96,8.9625,11.6,157.97083333333333,536.2
2024-08-16,31.7,25.8,27.837500000000002,83.75,94,10.25,17.8,217.70416666666665,726.0
2024-08-17,32.3,25.3,28.258333333333336,81.41666666666667,96,9.641666666666667,13.7,243.3375,783.6
2024-08-18,32.7,25.7,28.77916666666667,79.83333333333333,94,6.345833333333332,10.0,243.20000000000002,807.0
2024-08-19,32.6,26.0,29.275000000000002,79.04166666666667,93,6.8,10.5,251.0583333333333,769.2
2024-08-20,31.1,26.4,28.370833333333334,82.25,89,8.266666666666667,11.3,195.96666666666667,680.7
2024-08-21,31.9,26.2,28.4375,83.70833333333333,95,6.808333333333334,9.5,206.8125,780.6
2024-08-22,32.0,26.3,28.59166666666667,86.33333333333333,98,4.370833333333334,10.7,198.58333333333334,688.0
2024-08-23,30.6,26.1,27.77916666666667,91.75,98,4.604166666666667,8.0,146.53333333333333,583.8
2024-08-24,26.9,25.4,26.145833333333332,94.16666666666667,98,7.808333333333334,13.0,61.82916666666666,268.5
2024-08-25,29.6,24.7,26.25,92.16666666666667,97,15.637500000000001,23.1,102.175,496.8
2024-08-26,29.3,25.0,25.916666666666668,93.125,97,23.691666666666666,28.8,77.0875,631.2
2024-08-27,26.3,24.5,25.3625,91.0,93,29.59166666666667,37.4,49.987500000000004,259.9
2024-08-28,29.6,25.0,26.520833333333332,86.875,97,25.9375,32.0,108.375,599.8
2024-08-29,31.1,25.5,27.320833333333336,84.20833333333333,93,22.891666666666666,31.4,200.8791666666667,656.5
2024-08-30,30.5,25.1,27.304166666666664,85.20833333333333,96,15.770833333333334,21.3,192.42916666666667,625.0
2024-08-31,32.2,24.2,27.879166666666666,80.20833333333333,98,6.295833333333333,9.2,247.83333333333334,820.1
2024-09-01,32.1,24.9,28.416666666666668,80.625,98,7.166666666666667,12.3,250.3083333333333,816.9
2024-09-02,30.8,25.8,27.558333333333334,85.75,95,11.154166666666667,16.6,151.30833333333334,584.7
2024-09-03,29.1,25.0,26.400000000000002,90.79166666666667,98,7.633333333333333,11.3,108.875,501.9
2024-09-04,29.4,24.1,26.6875,86.41666666666667,96,11.4125,17.8,175.52916666666667,631.9
2024-09-05,30.5,24.9,26.625,88.16666666666667,96,11.987499999999999,16.2,157.85833333333332,677.0
2024-09-06,30.8,24.3,27.008333333333336,86.95833333333333,98,11.320833333333333,18.6,165.94583333333333,687.7
2024-09-07,31.2,24.6,27.604166666666668,82.83333333333333,97,9.9125,14.3,240.29166666666666,849.7
2024-09-08,30.9,25.0,27.104166666666668,86.95833333333333,95,8.995833333333334,13.9,178.54166666666666,684.2
2024-09-09,31.7,25.2,27.920833333333334,84.58333333333333,96,9.924999999999999,16.8,241.48333333333335,806.9
2024-09-10,31.4,25.2,27.729166666666668,84.625,96,9.529166666666667,18.7,206.5583333333333,799.9
