date,Tmax,Tmean,RH_mean,HI_max,WBGT_max,heat_severity,temperature_score,heat_index_score,wbgt_score,heat_risk_score,risk_category,heat_streak,mortality_RR
2018-05-31,41.2,34.3125,53.583333333333336,45.5434945741511,33.373222120629414,38.24133110203809,75,75,75,75.0,EXTREME,6,1.286
2018-06-01,41.2,34.7125,48.0,45.5434945741511,32.91077245348194,37.9638613017496,75,75,75,75.0,EXTREME,7,1.286
2018-06-02,41.4,35.354166666666664,46.833333333333336,45.01457578059559,33.73188893066485,38.24496367063715,75,75,75,75.0,EXTREME,8,1.291
2018-06-03,41.5,35.06666666666667,46.208333333333336,45.12934311705564,32.848142453432345,37.76062271888166,75,75,75,75.0,EXTREME,9,1.293
2018-06-04,41.5,34.608333333333334,50.5,44.73635343921555,32.5980681775388,37.4533822822095,75,75,75,75.0,EXTREME,10,1.293
2018-06-05,42.2,35.541666666666664,45.833333333333336,44.95883375059559,32.93566552027393,37.7449328124026,75,75,75,75.0,EXTREME,11,1.311
2018-06-06,42.4,35.858333333333334,43.458333333333336,44.10854600577781,32.249092192203484,36.992873717633216,75,75,75,75.0,EXTREME,12,1.316
2018-06-07,42.5,34.862500000000004,49.54166666666666,44.95883375059559,32.42782175111555,37.44022655090757,75,75,75,75.0,EXTREME,13,1.318
2018-06-08,41.4,34.391666666666666,52.375,45.52148768882451,32.75642925771699,37.86245263015999,75,75,75,75.0,EXTREME,14,1.291
2018-06-09,40.9,34.45,53.75,44.32954539383124,31.3569959011163,36.54601569820228,75,75,75,75.0,EXTREME,15,1.279
2018-06-10,41.2,34.704166666666666,53.75,45.5434945741511,32.44071344681938,37.68182589775206,75,75,75,75.0,EXTREME,16,1.286
2018-06-11,41.3,34.90833333333334,51.583333333333336,45.5434945741511,32.475916733789674,37.70294786993424,75,75,75,75.0,EXTREME,17,1.289
2018-06-12,41.2,34.045833333333334,52.75,44.72426576535117,32.059629257716985,37.12548386077066,75,75,75,75.0,EXTREME,18,1.286
2018-06-13,41.7,34.40416666666667,47.04166666666666,43.05800117409783,31.29827103258897,36.002163089192514,75,75,75,75.0,EXTREME,19,1.298
2018-06-14,41.1,33.62916666666667,50.04166666666666,42.12890261188448,30.267767779787675,35.0122217126264,75,50,50,57.5,HIGH,0,1.284
2018-06-15,40.6,33.47083333333333,51.333333333333336,42.94657018156443,30.79529410147032,35.65580453350796,75,50,50,57.5,HIGH,0,1.271
2018-06-16,38.3,32.475,56.66666666666666,41.08820973577559,29.494567779787676,34.13202456218284,50,50,50,50.0,HIGH,0,1.217
2018-06-17,38.4,32.75416666666667,56.458333333333336,41.81343176599774,29.34058799630172,34.32972550418013,50,50,50,50.0,HIGH,0,1.219
2018-06-18,40.0,33.550000000000004,54.25,43.55856713833779,31.57877948483459,36.37069454623588,75,75,75,75.0,EXTREME,1,1.257
2018-06-19,40.3,33.920833333333334,51.125,43.68996179201781,32.07528694612738,36.72115688448355,75,75,75,75.0,EXTREME,2,1.264
2018-06-20,41.4,34.5625,45.958333333333336,42.69505165071784,31.437950302400697,35.94079084172755,75,50,75,67.5,HIGH,0,1.291
